office_from_id,small_trucks,medium_trucks,large_trucks
1,1034,922,325
2,94,48,17
3,163,183,62
4,55,24,16
5,82,38,13
6,101,77,32
7,41,26,11
8,122,96,36
9,37,29,7
10,796,550,137
11,229,119,37
12,2070,1310,480
13,541,331,174
14,177,100,46
15,50,58,15
16,15,8,3
17,61,33,19
18,269,185,71
19,204,154,34
20,58,37,16
21,682,435,224
22,886,582,252
23,65,65,15
24,148,84,22
25,163,187,69
26,124,81,19
27,7,4,2
28,313,176,51
29,157,109,51
30,186,136,41
31,74,73,29
32,86,63,20
33,589,372,99
34,180,124,66
35,20,16,7
36,274,210,96
37,47,30,12
38,235,246,91
39,0,0,0
40,138,139,44
41,282,187,51
42,49,38,15
43,126,82,17
44,27,17,5
45,97,79,42
46,47,36,15
47,21,19,7
48,64,51,16
49,92,55,29
50,90,46,19
51,136,62,20
52,63,53,13
53,545,368,100
